cycle,i_ball_x,i_ball_y,i_ball_speed,i_ball_vel_angle,i_ball_r,i_ball_t,i_pass_origin_x,i_pass_origin_y,i_ball_dist_to_origin,i_expected_receive_position_x,i_expected_receive_position_y,i_receiver_x,i_receiver_y,i_receiver_unum,i_receiver_r,i_receiver_t,i_receiver_relative_to_ball_x,i_receiver_relative_to_ball_y,i_receiver_relative_to_ball_r,i_receiver_relative_to_ball_t,i_player_1_x,i_player_1_y,i_player_2_x,i_player_2_y,i_player_3_x,i_player_3_y,i_player_4_x,i_player_4_y,i_player_5_x,i_player_5_y,i_player_6_x,i_player_6_y,i_player_7_x,i_player_7_y,i_player_8_x,i_player_8_y,i_player_9_x,i_player_9_y,i_player_10_x,i_player_10_y,i_player_11_x,i_player_11_y,o_receive_position_x,o_receive_position_y,o_pass_distance
84,41.3545,22.595,2.27054,-96.7976,47.1246,28.651,41.3545,22.595,0,40.1626,12.5961,42.56,10.5952,2,43.859,13.9795,1.2055,-11.9998,12.0602,-84.2633,51.2429,5.53621,42.56,10.5952,41.3686,3.78098,41.1001,25.4417,37.786,-7.53168,35.131,7.92977,26.8881,16.3624,26.2722,-3.39859,14.8871,26.2074,12.8839,-16.9621,16.3698,6.52692,40.3715,12.7523,9.89166
85,41.1584,20.2905,2.17406,-94.8632,45.8881,26.2426,41.3545,22.595,2.31283,40.4849,12.3747,42.8087,10.6028,2,44.1022,13.911,1.6503,-9.6877,9.82726,-80.3325,50.6233,5.45521,42.8087,10.6028,41.3745,3.78252,41.1025,25.4417,38.3965,-7.36506,35.3669,7.98355,27.1304,16.396,26.4499,-3.32452,14.8874,26.2072,13.1456,-16.5651,16.3698,6.52692,40.3715,12.7523,7.57916
86,40.965,18.1286,2.04031,-95.1122,44.7971,23.8712,41.3545,22.595,4.48335,40.4517,12.3905,42.922,10.6105,2,44.214,13.8854,1.957,-7.5181,7.76863,-75.4094,50.3793,5.44369,42.922,10.6105,41.722,3.54759,41.1867,25.0011,39.0586,-7.20915,35.7374,7.75468,27.6125,16.312,26.9048,-3.36767,14.8876,26.2072,13.5079,-15.9793,16.7059,6.25581,40.3715,12.7523,5.40896
87,40.7681,16.1708,1.8496,-95.7449,43.8581,21.6359,41.3545,22.595,6.45091,40.2453,10.9745,42.5173,10.8175,2,43.8718,14.2747,1.7492,-5.3533,5.63183,-71.9051,50.2894,5.44243,42.5173,10.8175,42.1828,3.14685,41.311,24.4283,39.6941,-7.00551,36.1363,7.41161,28.1872,16.1998,27.4504,-3.46885,14.8876,26.2071,13.624,-15.7855,17.2139,5.84896,40.3715,12.7523,3.44143
88,40.5943,14.396,1.67626,-95.5932,43.0714,19.5261,41.3545,22.595,8.23417,40.2774,11.1595,41.9133,11.1499,2,43.371,14.897,1.319,-3.2461,3.50384,-67.8864,50.2545,5.44182,41.9133,11.1499,42.724,2.74666,41.4517,23.8312,40.3135,-6.78594,36.6262,6.96863,28.8425,16.0778,28.0516,-3.55192,14.8877,26.2071,13.675,-15.6942,17.7841,5.34524,40.3715,12.7523,1.65873
89,40.3715,12.7523,0,0,42.3377,17.53,41.3545,22.595,9.89166,40.3715,12.7523,41.1523,11.4492,2,42.7153,15.5474,0.7808,-1.3031,1.51912,-59.0705,50.3042,4.81503,41.1523,11.4492,42.5953,2.83591,41.6145,23.2077,40.8845,-6.53663,37.1216,6.46804,29.5224,15.8743,28.6564,-3.68852,14.8877,26.2071,13.9613,-16.0142,18.3879,4.8754,40.3715,12.7523,0
93,39.5236,9.33992,1.88923,-116.064,40.6122,13.2958,39.5236,9.33992,0,37.9133,6.04753,38.9851,6.38293,6,39.5042,9.29839,-0.5385,-2.95699,3.00562,-100.321,50.3584,3.94758,39.9687,11.7643,42.9782,2.64613,42.1888,20.9885,42.9065,-5.8653,38.9851,6.38293,31.9377,15.1365,29.9339,-4.72174,14.8877,26.2071,15.5745,-18.4634,18.8425,4.49957,38.7179,7.58863,1.92774
94,38.7179,7.58863,0,0,39.4546,11.0893,39.5236,9.33992,1.92774,38.7179,7.58863,39.285,6.52271,6,39.8228,9.42714,0.5671,-1.06592,1.20739,-61.9857,50.334,3.6418,39.9302,11.7701,43.5159,2.27517,42.2586,20.3966,43.3905,-5.74081,39.285,6.52271,32.2691,15.0453,30.3764,-5.10177,14.8877,26.2071,15.7417,-18.764,18.8516,4.48993,38.7179,7.58863,0
95,36.8301,5.85676,2.40818,-137.467,37.2929,9.03558,36.8301,5.85676,0,27.6577,-2.5579,30.8045,-5.4936,8,31.2905,-10.1117,-6.0256,-11.3504,12.8506,-117.963,50.2947,2.87085,40.0741,11.451,43.7702,2.08976,42.3535,19.8012,43.5512,-5.69992,39.4151,6.58751,32.54,14.6619,30.8045,-5.4936,14.8877,26.2071,15.8224,-18.8914,19.0516,4.10134,18.9136,-9.36109,23.5071
96,35.0618,4.27414,2.23065,-138.17,35.3214,6.95024,36.8301,5.85676,2.37309,22.2804,-7.16559,19.3443,3.51427,11,19.6609,10.2966,-15.7175,-0.75987,15.7359,-177.232,50.2716,1.93828,40.3177,10.959,43.882,1.60324,42.3737,19.5969,43.6087,-5.68527,39.4692,6.61838,32.6689,14.4608,30.937,-5.61873,14.8877,26.2071,15.8557,-18.9422,19.3443,3.51427,18.9136,-9.36109,21.1349
